City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Ancud,CL,61.0,broken clouds,-41.87,-73.82,Hotel Arena Gruesa
1,Busselton,AU,67.87,clear sky,-33.65,115.33,Observatory Guest House
5,Port Alfred,ZA,69.01,scattered clouds,-33.59,26.89,The Halyards Hotel
9,Ribeira Grande,PT,60.8,scattered clouds,38.52,-28.7,Quinta da Meia Eira
11,Hambantota,LK,77.79,scattered clouds,6.12,81.12,Bungalow 63
15,Key Biscayne,US,78.8,broken clouds,25.69,-80.16,"The Ritz-Carlton Key Biscayne, Miami"
21,Buta,CD,77.61,broken clouds,2.79,24.73,HOTEL BISO NA BISO
22,Mar Del Plata,AR,71.6,scattered clouds,-38.0,-57.56,Gran Hotel Mar del Plata
23,Abha,SA,59.0,clear sky,18.22,42.51,Abha Hotel
24,Hermanus,ZA,66.99,clear sky,-34.42,19.23,Misty Waves Boutique Hotel
26,Kismayo,SO,79.92,broken clouds,-0.36,42.55,Agan-Hotel
28,Cape Town,ZA,71.6,clear sky,-33.93,18.42,Southern Sun Waterfront Cape Town
29,Puerto Del Rosario,ES,66.2,scattered clouds,28.5,-13.86,Hotel JM Puerto del Rosario
30,Antofagasta,CL,75.0,few clouds,-23.65,-70.4,Holiday Inn Express Antofagasta
31,Rio Blanco,MX,74.8,clear sky,18.83,-97.15,Estacion Alameda
33,Punta Arenas,CL,57.2,broken clouds,-53.15,-70.92,Hotel Dreams Del Estrecho
35,Ushuaia,AR,53.6,broken clouds,-54.8,-68.3,Albatros Hotel
37,Souillac,MU,77.0,shower rain,-20.52,57.52,Bils' Villa
41,Chicama,PE,71.6,mist,-7.84,-79.15,Hospedaje Punta Cana PERU
45,Gat,IL,62.01,clear sky,31.61,34.76,OlusHome
46,Saldanha,ZA,71.6,clear sky,-33.01,17.94,Blue Bay Lodge
47,Nieuw Amsterdam,SR,77.0,very heavy rain,5.88,-55.08,Hotel Stardust
51,Praia Da Vitoria,PT,57.2,few clouds,38.73,-27.07,Hotel Branco I
53,Isiro,CD,73.76,overcast clouds,2.77,27.62,Nova
55,Sao Filipe,CV,75.97,broken clouds,14.9,-24.5,Tortuga B&B
60,Saint-Philippe,RE,78.8,light rain,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
62,Ponta Do Sol,PT,61.0,light rain,32.67,-17.1,Hotel do Campo
64,Mogadishu,SO,79.65,scattered clouds,2.04,45.34,Hotel Juba
76,Kamina,CD,65.95,light rain,-8.74,24.99,Guest House la Grace
77,Hamilton,US,57.2,overcast clouds,39.18,-84.53,Six Acres Bed & Breakfast
80,Praia,CV,78.8,scattered clouds,14.92,-23.51,LT Aparthotel
81,Dromolaxia,CY,57.0,clear sky,34.88,33.59,Flamingo Beach Hotel
84,Palora,EC,78.8,light rain,-1.7,-77.93,Rancho grande
89,Sanjwal,PK,59.0,haze,33.76,72.43,خٹک لاج
91,Mufulira,ZM,66.99,moderate rain,-12.55,28.24,Kamiria lodge
97,Ambilobe,MG,74.26,moderate rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
99,Quatre Cocos,MU,77.0,shower rain,-20.21,57.76,Emeraude Beach Attitude Hotel
110,East London,ZA,69.8,few clouds,-33.02,27.91,Tu Casa
111,Kisangani,CD,76.24,broken clouds,0.52,25.2,Grand Ramela Hotel
112,San Javier,ES,53.01,clear sky,37.81,-0.84,Hotel Mar Menor
114,Vilhena,BR,78.8,broken clouds,-12.74,-60.15,Hotel Mirage
115,Georgetown,MY,78.8,few clouds,5.41,100.34,Cititel Penang
116,Sorrento,IT,51.8,broken clouds,40.63,14.37,Hilton Sorrento Palace
117,Salalah,OM,75.2,clear sky,17.02,54.09,HAMDAN PLAZA HOTEL
124,Bambous Virieux,MU,77.0,shower rain,-20.34,57.76,Casa Tia Villa
125,Asmara,ER,55.13,clear sky,15.33,38.93,Hamasien Hotel
127,Nador,MA,55.4,clear sky,35.17,-2.93,Hôtel La Giralda
130,Bredasdorp,ZA,71.6,clear sky,-34.53,20.04,Bredasdorp Country Manor
134,Marsa Matruh,EG,62.6,scattered clouds,31.35,27.25,Beau Site
135,Necochea,AR,66.99,clear sky,-38.55,-58.74,dyd -mar Hotel
136,Uige,AO,67.24,overcast clouds,-7.61,15.06,Juliao Pereira
138,Comodoro Rivadavia,AR,64.4,few clouds,-45.87,-67.5,Austral Hotel
141,Port Blair,IN,79.83,scattered clouds,11.67,92.75,Welcomhotel Bay Island Port Blair
142,Pandamatenga,BW,74.08,scattered clouds,-18.53,25.63,Wildtrack Safaris Eco Lodge
