City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Ancud,CL,-41.87,-73.82,61.0,58,75,10.29,broken clouds
1,Busselton,AU,-33.65,115.33,67.87,73,4,16.13,clear sky
2,Nauchnyy Gorodok,RU,53.42,83.52,10.4,78,75,13.42,light snow
3,Raudeberg,NO,61.99,5.14,41.0,75,75,2.24,broken clouds
4,Beyneu,KZ,45.32,55.2,30.65,89,6,10.42,clear sky
5,Port Alfred,ZA,-33.59,26.89,69.01,82,37,7.94,scattered clouds
6,Mezen,RU,65.85,44.24,4.5,93,45,8.77,scattered clouds
7,Illela,NG,13.73,5.3,77.38,18,34,5.7,scattered clouds
8,Jamestown,US,42.1,-79.24,39.99,55,90,14.99,overcast clouds
9,Ribeira Grande,PT,38.52,-28.7,60.8,72,40,21.92,scattered clouds
10,Vuktyl,RU,63.86,57.31,-19.68,84,0,3.58,clear sky
11,Hambantota,LK,6.12,81.12,77.79,84,46,13.38,scattered clouds
12,Alappuzha,IN,9.49,76.33,80.19,80,9,4.03,moderate rain
13,Usinsk,RU,65.99,57.53,-25.28,83,0,6.55,clear sky
14,Dikson,RU,73.51,80.55,-20.83,84,66,6.42,broken clouds
15,Key Biscayne,US,25.69,-80.16,78.8,61,75,23.04,broken clouds
16,Upernavik,GL,72.79,-56.15,21.13,91,100,12.46,overcast clouds
17,Nanortalik,GL,60.14,-45.24,31.05,92,100,14.61,overcast clouds
18,Vardo,NO,70.37,31.11,24.8,79,0,12.75,clear sky
19,Saint George,US,37.1,-113.58,39.0,42,1,2.15,clear sky
20,Conceicao Do Araguaia,BR,-8.26,-49.26,88.75,56,82,4.85,broken clouds
21,Buta,CD,2.79,24.73,77.61,48,84,2.19,broken clouds
22,Mar Del Plata,AR,-38.0,-57.56,71.6,49,40,17.22,scattered clouds
23,Abha,SA,18.22,42.51,59.0,82,0,4.7,clear sky
24,Hermanus,ZA,-34.42,19.23,66.99,78,0,4.0,clear sky
25,Ongandjera,NA,-17.88,15.07,84.52,40,97,5.57,overcast clouds
26,Kismayo,SO,-0.36,42.55,79.92,84,64,14.34,broken clouds
27,Ust-Tsilma,RU,65.44,52.15,-15.56,87,8,7.27,clear sky
28,Cape Town,ZA,-33.93,18.42,71.6,49,0,10.29,clear sky
29,Puerto Del Rosario,ES,28.5,-13.86,66.2,63,40,10.29,scattered clouds
30,Antofagasta,CL,-23.65,-70.4,75.0,73,20,17.22,few clouds
31,Rio Blanco,MX,18.83,-97.15,74.8,36,0,4.5,clear sky
32,Puerto Cabezas,NI,14.04,-83.39,84.2,83,75,6.93,haze
33,Punta Arenas,CL,-53.15,-70.92,57.2,50,75,19.46,broken clouds
34,Bar Harbor,US,44.39,-68.2,33.01,46,1,9.17,clear sky
35,Ushuaia,AR,-54.8,-68.3,53.6,50,75,4.7,broken clouds
36,Chuy,UY,-33.7,-53.46,81.54,59,95,13.65,overcast clouds
37,Souillac,MU,-20.52,57.52,77.0,88,40,13.87,shower rain
38,Buchanan,LR,5.88,-10.05,82.4,75,59,9.06,broken clouds
39,Lowestoft,GB,52.48,1.75,35.01,93,100,7.65,overcast clouds
40,Liverpool,GB,53.41,-2.98,35.6,93,40,5.82,scattered clouds
41,Chicama,PE,-7.84,-79.15,71.6,78,75,9.17,mist
42,Gubkinskiy,RU,64.43,76.5,-15.47,89,81,6.98,broken clouds
43,Nagua,DO,19.38,-69.85,80.6,74,40,11.41,scattered clouds
44,Torbay,CA,47.67,-52.73,32.0,68,90,21.92,overcast clouds
45,Gat,IL,31.61,34.76,62.01,62,0,2.64,clear sky
46,Saldanha,ZA,-33.01,17.94,71.6,53,0,12.75,clear sky
47,Nieuw Amsterdam,SR,5.88,-55.08,77.0,88,40,11.41,very heavy rain
48,Soltsy,RU,58.12,30.32,35.29,95,100,8.7,overcast clouds
49,Arraial Do Cabo,BR,-22.97,-42.03,86.0,58,75,17.22,broken clouds
50,Hithadhoo,MV,-0.6,73.08,82.9,76,11,6.93,few clouds
51,Praia Da Vitoria,PT,38.73,-27.07,57.2,82,20,16.42,few clouds
52,Kavaratti,IN,10.57,72.64,82.08,74,13,5.77,few clouds
53,Isiro,CD,2.77,27.62,73.76,48,90,0.76,overcast clouds
54,Qaanaaq,GL,77.48,-69.36,7.59,74,43,10.69,scattered clouds
55,Sao Filipe,CV,14.9,-24.5,75.97,74,58,10.2,broken clouds
56,Narsaq,GL,60.92,-46.05,24.8,58,90,4.7,overcast clouds
57,Osijek,HR,45.55,18.69,45.0,93,75,6.93,light rain
58,Luderitz,NA,-26.65,15.16,68.0,72,46,28.86,scattered clouds
59,Cidreira,BR,-30.18,-50.21,83.61,63,43,6.26,scattered clouds
60,Saint-Philippe,RE,-21.36,55.77,78.8,78,0,27.51,light rain
61,Ouadda,CF,8.08,22.4,79.83,24,26,5.55,scattered clouds
62,Ponta Do Sol,PT,32.67,-17.1,61.0,77,75,9.17,light rain
63,Lasa,IT,46.62,10.7,32.0,73,75,5.82,broken clouds
64,Mogadishu,SO,2.04,45.34,79.65,83,37,20.27,scattered clouds
65,Hofn,IS,64.25,-15.21,24.8,58,0,11.41,clear sky
66,Dzilam Gonzalez,MX,21.28,-88.93,80.98,51,37,7.27,scattered clouds
67,Takoradi,GH,4.88,-1.76,82.08,79,72,9.17,broken clouds
68,Beira,MZ,-19.84,34.84,84.2,83,75,16.11,broken clouds
69,Axim,GH,4.87,-2.24,81.82,78,64,8.43,broken clouds
70,Mazagao,BR,-0.12,-51.29,93.2,59,40,12.75,scattered clouds
71,Amiens,FR,49.9,2.3,39.2,93,75,8.05,broken clouds
72,Brae,GB,60.4,-1.35,39.2,86,40,8.05,light rain
73,Mariinskiy Posad,RU,56.12,47.72,17.6,85,40,6.71,light snow
74,Miass,RU,55.05,60.11,7.0,91,91,0.89,overcast clouds
75,Pangnirtung,CA,66.15,-65.71,12.2,61,90,10.29,overcast clouds
76,Kamina,CD,-8.74,24.99,65.95,96,100,4.14,light rain
77,Hamilton,US,39.18,-84.53,57.2,58,90,26.4,overcast clouds
78,Ilulissat,GL,69.22,-51.1,28.4,63,75,12.75,broken clouds
79,Gilgit,PK,35.92,74.31,22.98,52,0,3.0,clear sky
80,Praia,CV,14.92,-23.51,78.8,65,40,23.04,scattered clouds
81,Dromolaxia,CY,34.88,33.59,57.0,76,0,5.82,clear sky
82,Porto Novo,BJ,6.5,2.6,86.0,74,97,9.17,haze
83,Mahon,ES,39.89,4.27,48.2,70,20,9.17,few clouds
84,Palora,EC,-1.7,-77.93,78.8,65,40,5.82,light rain
